,Cash,Position,pnl,g_sl,g_tp,close
182,10000,0.0,0,0,0,46
183,10000,0.0,0,0,0,46
184,10000,0.0,0,0,0,45
185,10000,0.0,0,0,0,46
186,9952,1.0,0,43,51,47
187,9952,0.0,0,43,51,47
188,9952,0.0,0,43,51,46
189,9952,0.0,0,43,51,46
190,9952,0.0,0,43,51,45
191,9952,0.0,0,43,51,45
192,9952,0.0,0,43,51,46
193,9952,0.0,0,43,51,46
194,9952,0.0,0,43,51,45
195,9952,0.0,0,43,51,47
196,9952,0.0,0,43,51,47
197,9952,0.0,0,43,51,47
198,9996,0.0,-4,0,0,42
199,9954,-1.0,-4,45,37,41
200,9954,0.0,-4,45,37,42
201,9954,0.0,-4,45,37,40
202,9954,0.0,-4,45,37,41
203,9954,0.0,-4,45,37,41
204,9954,0.0,-4,45,37,41
205,9954,0.0,-4,45,37,42
206,9954,0.0,-4,45,37,42
207,9954,0.0,-4,45,37,42
208,9954,0.0,-4,45,37,42
209,9954,0.0,-4,45,37,42
210,9954,0.0,-4,45,37,43
211,9954,0.0,-4,45,37,43
212,9954,0.0,-4,45,37,43
213,9954,0.0,-4,45,37,43
214,9954,0.0,-4,45,37,43
215,9954,0.0,-4,45,37,43
216,9954,0.0,-4,45,37,44
217,9954,0.0,-4,45,37,44
218,9954,0.0,-4,45,37,43
219,9954,0.0,-4,45,37,44
220,9954,0.0,-4,45,37,43
221,9954,0.0,-4,45,37,43
222,9954,0.0,-4,45,37,43
223,9954,0.0,-4,45,37,43
224,9954,0.0,-4,45,37,43
225,9954,0.0,-4,45,37,42
226,9954,0.0,-4,45,37,42
227,9954,0.0,-4,45,37,42
228,9954,0.0,-4,45,37,41
229,9954,0.0,-4,45,37,41
230,9954,0.0,-4,45,37,41
231,9954,0.0,-4,45,37,41
232,9954,0.0,-4,45,37,41
233,9954,0.0,-4,45,37,42
234,9954,0.0,-4,45,37,42
235,9954,0.0,-4,45,37,42
236,9954,0.0,-4,45,37,42
237,9954,0.0,-4,45,37,42
238,9954,0.0,-4,45,37,41
239,9954,0.0,-4,45,37,41
240,9954,0.0,-4,45,37,40
241,9954,0.0,-4,45,37,40
242,9954,0.0,-4,45,37,40
243,9954,0.0,-4,45,37,40
244,9954,0.0,-4,45,37,40
245,9954,0.0,-4,45,37,41
246,9954,0.0,-4,45,37,41
247,9954,0.0,-4,45,37,41
248,9954,0.0,-4,45,37,41
249,9954,0.0,-4,45,37,41
250,9954,0.0,-4,45,37,41
251,9954,0.0,-4,45,37,41
252,9954,0.0,-4,45,37,42
253,9954,0.0,-4,45,37,42
254,9954,0.0,-4,45,37,41
