,Date,signal,signal_rsi,rsi
1693,2021-01-04,0.0,0.0,
1694,2021-01-05,0.0,0.0,
1695,2021-01-06,0.0,0.0,
1696,2021-01-07,0.0,0.0,
1697,2021-01-08,0.0,0.0,
1698,2021-01-11,0.0,0.0,
1699,2021-01-12,0.0,0.0,
1700,2021-01-13,0.0,0.0,
1701,2021-01-14,0.0,0.0,
1702,2021-01-15,0.0,0.0,
1703,2021-01-19,0.0,0.0,
1704,2021-01-20,0.0,0.0,
1705,2021-01-21,0.0,0.0,
1706,2021-01-22,0.0,0.0,61.37114029644571
1707,2021-01-25,0.0,0.0,64.83709041235447
1708,2021-01-26,0.0,0.0,66.98047313372533
1709,2021-01-27,-1.0,-1.0,77.59956144751689
1710,2021-01-28,-1.0,-1.0,77.59357531699719
1711,2021-01-29,0.0,0.0,64.33551756693183
1712,2021-02-01,-1.0,-1.0,72.7983462734796
1713,2021-02-02,-1.0,-1.0,76.61326748723175
1714,2021-02-03,-1.0,-1.0,77.62123407169545
1715,2021-02-04,-1.0,-1.0,81.55888837062831
1716,2021-02-05,-1.0,-1.0,82.29509607370385
1717,2021-02-08,-1.0,-1.0,80.81933556488262
1718,2021-02-09,-1.0,-1.0,77.26636765769598
1719,2021-02-10,-1.0,-1.0,74.82616856068171
1720,2021-02-11,-1.0,-1.0,75.30024095903873
1721,2021-02-12,-1.0,-1.0,73.03339521421206
1722,2021-02-16,0.0,0.0,67.73790865480753
1723,2021-02-17,0.0,0.0,67.66729918920376
1724,2021-02-18,0.0,0.0,59.218513842604104
1725,2021-02-19,-1.0,-1.0,70.2836375128388
1726,2021-02-22,1.0,1.0,37.750255100741995
1727,2021-02-23,1.0,1.0,35.86959826846032
1728,2021-02-24,1.0,1.0,28.736807912142595
1729,2021-02-25,1.0,1.0,23.363363925828807
1730,2021-02-26,1.0,1.0,32.23590397562127
1731,2021-03-01,1.0,1.0,41.34043212059464
1732,2021-03-02,1.0,1.0,35.31155778666948
1733,2021-03-03,1.0,1.0,30.465936099031353
1734,2021-03-04,1.0,1.0,26.766079018327275
1735,2021-03-05,1.0,1.0,34.28035249620318
1736,2021-03-08,1.0,1.0,32.080867876551025
1737,2021-03-09,1.0,1.0,39.863816816191886
1738,2021-03-10,1.0,1.0,39.14040707588004
1739,2021-03-11,1.0,1.0,46.460181721305524
1740,2021-03-12,0.0,0.0,51.261193059302194
1741,2021-03-15,0.0,0.0,51.57592335758103
1742,2021-03-16,0.0,0.0,53.12995351030452
1743,2021-03-17,0.0,0.0,58.82866600396945
1744,2021-03-18,1.0,1.0,48.28936320094597
1745,2021-03-19,1.0,1.0,42.5671224219627
1746,2021-03-22,0.0,0.0,52.260137081721666
1747,2021-03-23,0.0,0.0,61.87766137746442
1748,2021-03-24,0.0,0.0,60.04141317274469
1749,2021-03-25,0.0,0.0,50.88685243460164
1750,2021-03-26,0.0,0.0,60.912354153172465
1751,2021-03-29,0.0,0.0,52.00000836097685
1752,2021-03-30,1.0,1.0,49.26032720249428
1753,2021-03-31,1.0,1.0,48.198197651828735
1754,2021-04-01,0.0,0.0,57.685148728765945
1755,2021-04-05,0.0,0.0,64.63465661774794
1756,2021-04-06,0.0,0.0,60.79097826912186
1757,2021-04-07,0.0,0.0,63.28513046112778
1758,2021-04-08,-1.0,-1.0,74.79639270479967
1759,2021-04-09,-1.0,-1.0,76.75199123019902
1760,2021-04-12,-1.0,-1.0,73.66919831529634
1761,2021-04-13,-1.0,-1.0,74.27442797244426
1762,2021-04-14,-1.0,-1.0,72.95324267604082
1763,2021-04-15,-1.0,-1.0,80.4211618696946
1764,2021-04-16,-1.0,-1.0,79.06086374156416
1765,2021-04-19,-1.0,-1.0,77.64705079814264
1766,2021-04-20,-1.0,-1.0,83.35441584109581
1767,2021-04-21,-1.0,-1.0,82.65335426750687
1768,2021-04-22,-1.0,-1.0,71.28093505664881
1769,2021-04-23,0.0,0.0,68.8279708598033
1770,2021-04-26,-1.0,-1.0,71.8900523739047
1771,2021-04-27,-1.0,-1.0,70.35421092502018
1772,2021-04-28,0.0,0.0,51.943045755681176
1773,2021-04-29,1.0,1.0,44.9637786695639
1774,2021-04-30,1.0,1.0,44.42114564952064
1775,2021-05-03,1.0,1.0,39.36475860249244
1776,2021-05-04,1.0,1.0,37.94059626437116
1777,2021-05-05,1.0,1.0,28.1007749949992
1778,2021-05-06,1.0,1.0,32.672293430633744
1779,2021-05-07,1.0,1.0,40.33846421101311
1780,2021-05-10,1.0,1.0,35.14741316184562
1781,2021-05-11,1.0,1.0,30.030615274002216
1782,2021-05-12,1.0,1.0,27.144637197818398
1783,2021-05-13,1.0,1.0,27.236197511515
1784,2021-05-14,1.0,1.0,34.95059746427283
1785,2021-05-17,1.0,1.0,32.16485454392212
1786,2021-05-18,1.0,1.0,36.254792579462865
1787,2021-05-19,1.0,1.0,38.18867547902059
1788,2021-05-20,1.0,1.0,43.33800941565376
1789,2021-05-21,1.0,1.0,42.35777459377862
1790,2021-05-24,0.0,0.0,53.299499736481856
1791,2021-05-25,0.0,0.0,55.8424224970216
1792,2021-05-26,0.0,0.0,52.10025062291564
1793,2021-05-27,1.0,1.0,46.19104008136051
1794,2021-05-28,0.0,0.0,53.430299020572576
1795,2021-06-01,0.0,0.0,51.54884694458401
1796,2021-06-02,0.0,0.0,63.54440516309339
1797,2021-06-03,0.0,0.0,54.751792774575996
1798,2021-06-04,0.0,0.0,54.68750592660702
1799,2021-06-07,0.0,0.0,65.29602416311832
1800,2021-06-08,0.0,0.0,67.34921253933959
1801,2021-06-09,0.0,0.0,68.47867536485428
1802,2021-06-10,0.0,0.0,68.79806700337012
1803,2021-06-11,-1.0,-1.0,72.74682995112927
1804,2021-06-14,0.0,0.0,68.70641684421606
1805,2021-06-15,0.0,0.0,63.311915559068765
1806,2021-06-16,0.0,0.0,61.46360904693989
1807,2021-06-17,-1.0,-1.0,71.43916009384485
1808,2021-06-18,0.0,0.0,67.33026819258316
1809,2021-06-21,-1.0,-1.0,76.21345505352394
1810,2021-06-22,-1.0,-1.0,78.60509843907826
1811,2021-06-23,-1.0,-1.0,82.08655750901491
1812,2021-06-24,-1.0,-1.0,79.64201654568332
1813,2021-06-25,-1.0,-1.0,72.00621133640793
1814,2021-06-28,-1.0,-1.0,78.91146651107448
1815,2021-06-29,-1.0,-1.0,80.09453304840717
1816,2021-06-30,-1.0,-1.0,75.83198770990859
1817,2021-07-01,-1.0,-1.0,75.87759366932134
1818,2021-07-02,-1.0,-1.0,79.07652060431462
1819,2021-07-06,-1.0,-1.0,83.2529032135943
1820,2021-07-07,-1.0,-1.0,87.1988521949255
1821,2021-07-08,-1.0,-1.0,78.19111262946514
1822,2021-07-09,-1.0,-1.0,82.64547769905293
1823,2021-07-12,-1.0,-1.0,78.50211739962484
1824,2021-07-13,-1.0,-1.0,79.13369218762034
1825,2021-07-14,-1.0,-1.0,80.96268502106305
1826,2021-07-15,-1.0,-1.0,75.69892379026216
1827,2021-07-16,-1.0,-1.0,79.66809373773282
1828,2021-07-19,0.0,0.0,65.61209394601542
1829,2021-07-20,0.0,0.0,65.12609792916135
1830,2021-07-21,0.0,0.0,68.91213867494542
1831,2021-07-22,-1.0,-1.0,72.86167937114512
1832,2021-07-23,-1.0,-1.0,70.5260118860259
1833,2021-07-26,0.0,0.0,69.05317861828503
1834,2021-07-27,0.0,0.0,60.969169420813756
1835,2021-07-28,0.0,0.0,65.74800827491595
1836,2021-07-29,0.0,0.0,65.45125232186886
1837,2021-07-30,0.0,0.0,63.23682034021708
1838,2021-08-02,0.0,0.0,57.64939323531235
1839,2021-08-03,0.0,0.0,58.909907656881856
1840,2021-08-04,0.0,0.0,60.960035351605654
1841,2021-08-05,0.0,0.0,65.8132074329641
1842,2021-08-06,-1.0,-1.0,75.88358379786541
1843,2021-08-09,0.0,0.0,69.69827983074526
1844,2021-08-10,0.0,0.0,61.11114848817981
1845,2021-08-11,0.0,0.0,52.19512114435432
1846,2021-08-12,0.0,0.0,50.393657539395626
1847,2021-08-13,0.0,0.0,59.40602286410106
1848,2021-08-16,-1.0,-1.0,70.73050887900936
1849,2021-08-17,0.0,0.0,66.61821891680097
1850,2021-08-18,0.0,0.0,59.31313066159248
1851,2021-08-19,-1.0,-1.0,71.83362247970732
1852,2021-08-20,-1.0,-1.0,78.188152880599
1853,2021-08-23,-1.0,-1.0,76.84538258279254
1854,2021-08-24,-1.0,-1.0,73.64251650836077
1855,2021-08-25,0.0,0.0,69.7190393549189
1856,2021-08-26,0.0,0.0,63.94441606465172
1857,2021-08-27,0.0,0.0,66.73527074847502
1858,2021-08-30,-1.0,-1.0,73.81283501769106
1859,2021-08-31,-1.0,-1.0,70.06182255990342
1860,2021-09-01,0.0,0.0,67.4709173638841
1861,2021-09-02,0.0,0.0,62.95254913390597
1862,2021-09-03,0.0,0.0,60.79210852589818
1863,2021-09-07,0.0,0.0,61.936811904129115
1864,2021-09-08,0.0,0.0,67.28662723790148
1865,2021-09-09,0.0,0.0,50.98605394114395
1866,2021-09-10,1.0,1.0,26.353226202056646
1867,2021-09-13,1.0,1.0,30.13484401686064
1868,2021-09-14,1.0,1.0,42.942683322196835
1869,2021-09-15,0.0,0.0,55.74171212495354
1870,2021-09-16,0.0,0.0,63.9635568877927
1871,2021-09-17,0.0,0.0,50.281203263903116
1872,2021-09-20,1.0,1.0,33.62707058407172
1873,2021-09-21,1.0,1.0,36.96611159801344
1874,2021-09-22,1.0,1.0,44.73940035803059
1875,2021-09-23,1.0,1.0,47.451114687853064
1876,2021-09-24,1.0,1.0,47.148763986393
1877,2021-09-27,1.0,1.0,41.56139206714719
1878,2021-09-28,1.0,1.0,31.948964462863344
1879,2021-09-29,1.0,1.0,34.8571639827511
1880,2021-09-30,1.0,1.0,34.4321902630476
1881,2021-10-01,1.0,1.0,42.13988947037837
1882,2021-10-04,1.0,1.0,34.3761594871129
1883,2021-10-05,1.0,1.0,35.1296486978616
1884,2021-10-06,1.0,1.0,39.55133137115191
1885,2021-10-07,1.0,1.0,45.38094984036413
1886,2021-10-08,0.0,0.0,50.56388942598604
1887,2021-10-11,1.0,1.0,49.41708296166923
1888,2021-10-12,1.0,1.0,43.86571755310517
1889,2021-10-13,1.0,1.0,46.67757337067069
1890,2021-10-14,0.0,0.0,53.083053238574315
1891,2021-10-15,0.0,0.0,59.762708524735714
1892,2021-10-18,-1.0,-1.0,77.10376246278389
1893,2021-10-19,-1.0,-1.0,77.34145298291747
1894,2021-10-20,-1.0,-1.0,79.60506541600267
1895,2021-10-21,-1.0,-1.0,77.6134233556366
1896,2021-10-22,-1.0,-1.0,87.39589822581225
1897,2021-10-25,-1.0,-1.0,82.05888948826271
1898,2021-10-26,-1.0,-1.0,80.53157974353859
1899,2021-10-27,-1.0,-1.0,86.15932406273087
1900,2021-10-28,-1.0,-1.0,86.56417992195857
1901,2021-10-29,-1.0,-1.0,89.78502619548776
1902,2021-11-01,-1.0,-1.0,88.09770210162752
1903,2021-11-02,-1.0,-1.0,88.17916122915764
1904,2021-11-03,-1.0,-1.0,86.63538348373876
1905,2021-11-04,-1.0,-1.0,86.93557739588674
1906,2021-11-05,-1.0,-1.0,85.14533680784662
1907,2021-11-08,-1.0,-1.0,85.14170309210374
1908,2021-11-09,-1.0,-1.0,84.68646032305314
1909,2021-11-10,-1.0,-1.0,73.33485897525185
1910,2021-11-11,-1.0,-1.0,77.0770169334557
1911,2021-11-12,-1.0,-1.0,80.92146824964593
1912,2021-11-15,-1.0,-1.0,78.90869471835478
1913,2021-11-16,-1.0,-1.0,73.15759198308032
1914,2021-11-17,-1.0,-1.0,71.41197466927505
1915,2021-11-18,0.0,0.0,66.4283034963741
1916,2021-11-19,-1.0,-1.0,73.72234083135038
1917,2021-11-22,0.0,0.0,61.76260376561904
1918,2021-11-23,0.0,0.0,56.182781364594675
1919,2021-11-24,0.0,0.0,52.66787703030376
1920,2021-11-26,1.0,1.0,40.98869988310233
1921,2021-11-29,1.0,1.0,49.565445473648225
1922,2021-11-30,1.0,1.0,44.22661862226701
