,Cash,Position,pnl,g_sl,g_tp,close,amount,multiplier,no_trades,no_wins
182,100.0,0.0,0.0,0.0,0.0,104.52,0.0,0.0,0.0,0.0
183,100.0,0.0,0.0,0.0,0.0,103.79,0.0,0.0,0.0,0.0
184,100.0,0.0,0.0,0.0,0.0,103.28,0.0,0.0,0.0,0.0
185,100.0,0.0,0.0,0.0,0.0,105.56,0.0,0.0,0.0,0.0
186,100.0,0.0,0.0,0.0,0.0,106.39,0.0,0.0,0.0,0.0
187,100.0,0.0,0.0,0.0,0.0,104.94,0.0,0.0,0.0,0.0
188,100.0,0.0,0.0,0.0,0.0,104.58,0.0,0.0,0.0,0.0
189,100.0,0.0,0.0,0.0,0.0,104.76,0.0,0.0,0.0,0.0
190,100.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0
191,100.0,0.0,0.0,0.0,0.0,102.49,0.0,0.0,0.0,0.0
192,100.0,0.0,0.0,0.0,0.0,104.04,0.0,0.0,0.0,0.0
193,100.0,0.0,0.0,0.0,0.0,101.29,0.0,0.0,0.0,0.0
194,100.0,0.0,0.0,0.0,0.0,101.9,0.0,0.0,0.0,0.0
195,100.0,0.0,0.0,0.0,0.0,103.76,0.0,0.0,0.0,0.0
196,100.0,0.0,0.0,0.0,0.0,102.2,0.0,0.0,0.0,0.0
197,100.0,0.0,0.0,0.0,0.0,102.26,0.0,0.0,0.0,0.0
198,100.0,0.0,0.0,0.0,0.0,102.09,0.0,0.0,0.0,0.0
199,100.0,0.0,0.0,0.0,0.0,101.48,0.0,0.0,0.0,0.0
200,100.0,0.0,0.0,0.0,0.0,102.38,0.0,0.0,0.0,0.0
201,100.0,0.0,0.0,0.0,0.0,100.14,0.0,0.0,0.0,0.0
202,100.0,0.0,0.0,0.0,0.0,100.83,0.0,0.0,0.0,0.0
203,100.0,0.0,0.0,0.0,0.0,102.46,0.0,0.0,0.0,0.0
204,100.0,0.0,0.0,0.0,0.0,101.36,0.0,0.0,0.0,0.0
205,100.0,0.0,0.0,0.0,0.0,102.46,0.0,0.0,0.0,0.0
206,100.0,0.0,0.0,0.0,0.0,101.1,0.0,0.0,0.0,0.0
207,100.0,0.0,0.0,0.0,0.0,99.78,0.0,0.0,0.0,0.0
208,100.0,0.0,0.0,0.0,0.0,100.35,0.0,0.0,0.0,0.0
209,100.0,0.0,0.0,0.0,0.0,100.38,0.0,0.0,0.0,0.0
210,100.0,0.0,0.0,0.0,0.0,98.44,0.0,0.0,0.0,0.0
211,100.0,0.0,0.0,0.0,0.0,99.62,0.0,0.0,0.0,0.0
